,95
exception,2
wartościami,1
resizedouble,2
String,7
zwracała,2
informacje,1
wyświetlisz,1
calculateArea,1
bloku,1
przyjąć,1
ten,1
CarString,1
konstruktorze,2
ram,1
bateria,1
zaimplementuj,2
raz,1
aktualnego,3
klasę,36
contains,1
mało,1
size,1
ListPointD,1
naszej,1
najczęściej,1
odczyta,1
poprzedniego,7
A,2
Istnieje,1
odczytuje,2
S,3
T,1
V,4
W,8
przekracza,2
Aby,1
Z,2
przeleje,1
odczytać,1
a,7
b,2
wraz,2
c,2
d,1
newFixedThreadPool,1
e,1
f,1
g,2
razem,1
i,28
k,1
n,1
o,9
pusty,2
getEveryNthElement,1
v,1
w,37
ListModel,2
x,3
y,3
aby,1
z,36
zawierać,8
KILOMETERSTOMILES,1
calculatePerimeter,1
struktury,1
zapisać,2
konstruktor,6
konsoli,7
tyłu,1
startIndex,1
convertint,1
implementując,3
mainString,3
add,1
Circle,6
akcję,1
itp,3
generyczną,1
przekazanego,3
możliwość,1
zostanie,1
używając,1
Storage,2
tablicy,3
użyj,2
Przy,2
koszyku,1
remove,1
aktualne,4
interfejs,7
CABRIO,2
koszyka,2
Napisz,7
CirclePointD,1
INCHESTOCENTIMETERS,1
bullet,1
nową,2
logikę,1
zwróć,3
jako,7
liczbę,4
jest,7
przeprowadzania,1
args,3
pętlę,1
numer,2
maratonu,3
yLength,1
punktem,1
aktualny,2
przechowuje,1
mniejszy,1
Enum,3
parametrów,2
MeasurementConverter,1
zbiór,1
czeka,1
Zaawansowana,1
naboi,1
waga,1
nam,1
Klasa,4
nabój,2
isRegular,2
indeks,1
tworząc,1
zLength,1
wynik,1
zadeklarowana,1
usunięcia,1
przekaż,1
system,1
pojemność,1
SDAHashSetE,1
punktów,1
parametry,5
analogicznie,1
punktu,1
danych,3
punkty,1
celu,2
przekazać,1
każdym,2
ConvertionType,1
nastąpić,2
zadanie,1
symulować,1
zadania,7
poza,1
Executor,1
przechowujący,1
zwróci,2
producentów,4
wystrzeliwuje,1
służący,1
wwwsdacademypl,41
podstawie,8
przynajmniej,1
BMW,1
Koszyk,1
posortowanych,1
DShape,3
uwagę,1
wykonywanej,1
YARDSTOMETERS,1
drugi,1
spełniających,1
posortowaną,3
zwracać,3
partOf,1
iteracji,3
settery,4
wskazanej,1
dowolna,1
określające,1
compareTo,1
isExpress,1
pozwalała,1
lat,2
folderze,1
konstruktora,6
void,4
zaczyna,1
przechowywalni,1
Zaimplementuj,13
productionStartYear,3
dowolny,2
rozwiązać,1
weryfikować,1
samym,1
zwracanie,9
zwierząt,8
MapString,2
posiadała,3
cena,2
elementowej,1
Runner,3
zadanej,1
przechowywać,1
którego,1
alfabetycznie,2
isFasterThan,1
skorzystaj,1
musi,1
rok,2
ArrayListE,1
Na,6
carType,3
największą,1
ćwiczeniu,1
minutach,2
policzy,1
dowolnej,1
konwersji,1
odpowiedni,1
służącą,2
akcja,1
aktualizuje,2
czujników,2
nie,9
producenta,5
dowolnym,1
czasie,1
meotody,1
addToBasket,1
jak,2
modele,1
listę,20
addAnimalsString,1
element,4
models,3
przeciwny,1
Parcel,1
modelu,3
nowym,1
png,1
zastępuje,1
modeli,2
wyświetlanie,2
input,1
liście,2
dodawanie,3
zwiększając,1
tabelki,1
aktualnie,1
wszystkie,4
które,2
ilość,2
systemie,1
pod,3
która,22
parametrem,1
zaimplementowana,1
wskazany,1
przyjmuje,6
poniższe,1
przyjmującego,1
który,8
wyświetli,2
mniejszym,1
poniższy,1
Runnable,5
jednym,1
numeru,1
getArea,1
podając,1
ilości,2
getSlicePoints,1
rezultat,2
przekazane,1
zastanie,1
wstrzymanie,1
tym,6
typ,1
run,3
validateParcel,1
rokiem,9
dodaj,1
metod,3
startu,4
ostatni,2
aktualizację,1
przygotowuje,1
funkcjonalności,1
weight,1
znaków,1
wzbudzenie,1
wątków,3
getRadius,1
aktualnej,1
przechowywanie,1
wartości,2
name,10
niezbędne,2
obwodu,1
obliczania,2
aut,12
string,3
której,1
wywołanie,1
końcu,1
description,3
COUPE,1
najdroższego,1
System,1
shot,1
separatorem,1
Klucz,4
wywołania,1
czy,9
getFitnessLevel,1
zapisze,2
center,1
moveDirection,2
start,3
dużo,1
BasketFullException,2
wywołaniu,6
pozwalającą,1
nadaną,1
czasu,2
parzystym,4
słowa,1
nowszego,1
pętli,1
Pierwszy,1
Triangle,1
Przykład,1
Następnie,3
program,6
zainicjuj,4
powinna,11
określać,1
Uwzględnij,2
getNumberOfAllAnimals,1
Computer,2
METERSTOYARDS,1
Converter,1
calculateVolume,2
powinno,2
podanego,2
niż,4
wejściu,1
BasketEmptyException,2
double,7
wszystkich,13
tego,1
szybszy,1
cars,3
korzystała,1
funkcji,1
nowymi,1
więcej,2
załadowany,2
BEGINNER,1
suma,1
Shape,3
pierwszy,1
będzie,15
ManufacturerString,1
Integerów,1
rzuć,1
powinien,7
karta,1
Sprawdź,5
aktualizacja,1
gettery,4
deklaracji,1
Cone,2
najtańszego,1
thisyearOfCreation,1
programowania,1
własne,1
abstrakcyjnymi,1
thisname,3
programowanie,1
aktualną,1
procesor,1
pojazdu,1
klasa,2
podaną,1
dowolnego,2
utwórz,3
korzystając,2
grafiki,1
funkcyjnego,1
zawodach,1
kiedy,1
odczytując,1
swoje,2
klasy,10
kluczy,1
Manufacturer,3
checked,1
następnie,5
Python,1
założenia,7
parametrami,1
katalogu,1
implementującą,2
wielkości,1
liter,1
komputera,1
chce,1
runtime,1
miał,1
liczba,1
posiadanych,1
stworzyć,1
może,1
wykonać,3
ramach,1
obliczeń,1
FERRARI,1
Basket,1
loadBulletString,1
załadować,1
pojazdów,1
Wartość,4
point,1
separatora,1
takim,1
nieprzerwany,1
wleje,2
przypadku,4
temat,1
zadziałała,1
jpg,1
Zawartość,1
kraj,1
addToStorageString,1
Obsłuż,1
podkatalogach,1
clear,1
mieć,1
ADVANCED,1
koła,1
prywatne,2
lub,4
możesz,1
thiscars,1
nadrzędnej,1
nazw,3
yearOfCreation,3
usuwa,1
nazwa,2
jedno,1
obiektów,3
FIAT,1
współczynnik,1
Zaprojektuj,1
rozmiarze,1
Wykorzystując,1
parametr,8
printValuesString,1
ListCar,2
brzegi,1
plik,2
definiowania,1
firma,1
odpowiednio,3
elementem,1
implementować,1
cykliczna,1
moveMoveDirection,2
klasach,2
określa,1
thisproductionStartYear,1
napełni,1
pojazd,1
losową,3
wynosi,1
wybranymi,1
HATCHBACK,1
co,4
liczącą,1
getPerimeter,1
nazwy,1
położenie,1
również,1
toString,3
MILESTOKILOMETERS,1
thiscarType,1
usuwanie,1
nabojów,1
CarService,1
do,19
wiersza,1
zaimplementować,1
tekstowym,1
rosnącomalejąco,1
Wiele,1
nadpisz,1
Stwórz,27
poprzednim,1
wymiarów,1
static,3
tytuł,1
losowo,1
cechy,1
tylko,5
obsługę,1
napełnienia,1
uzupełniona,1
Dla,3
rozszerzającą,3
wyjątki,2
formie,1
aplikację,1
gdzie,2
produkcji,5
rozszerzając,2
użytkownik,1
nazwę,5
hashCode,1
dla,5
obiekt,3
Jako,1
Metoda,6
class,3
przeciąż,1
biorąc,1
ułatwienia,1
go,3
powinny,1
pozwalać,1
warunek,1
Dodaj,2
przy,6
ModelString,1
zmiany,1
zmienną,4
przebiegnięcia,3
Zamień,1
oddzielać,1
statycznej,1
Jeżeli,1
przecinek,1
zmienić,2
Fillable,1
klasie,2
model,2
join,1
natomiast,1
mechanizmy,1
maksymalny,1
maszynie,1
stanie,5
Live,1
enum,7
naładowana,1
zdjęcia,1
Użyj,2
CarType,3
je,2
Map,1
polami,1
łącząc,1
momencie,1
osobno,1
skip,1
metodę,27
implementację,1
PHP,1
wody,2
zbiornik,1
pierwszym,1
woda,1
oraz,37
MoveDirection,2
unikalnych,1
dodaje,2
elementów,11
equals,4
zwraca,7
weryfikuje,1
broni,1
wystąpienia,1
findValuesString,1
auto,1
się,4
powtórzyły,1
Każdy,1
bądź,1
main,3
auta,8
getAnimalsCount,1
ma,7
odwrócone,1
tych,1
lista,1
Qube,2
Zadanie,40
usługa,1
stringa,1
Zadania,1
fill,2
separator,1
metodą,2
na,18
wątku,6
stworzonej,2
listy,7
EntrySet,1
np,9
Resizable,1
pomocą,2
wodą,1
kropka,1
maszynę,1
getAnimalsCountSorted,1
od,9
parzenia,1
thisdescription,1
promień,1
ją,3
executorów,1
Hexagon,1
wszystkimi,1
wypisać,1
removeFromBasket,1
przekazanej,1
rezultatu,1
po,2
PointD,3
trzy,1
inną,1
przekazując,1
abstrakcyjną,2
wyświetlać,1
wyprodukowanych,3
metoda,2
zmniejszając,1
gatunek,1
INTERMEDIATE,1
podanie,1
xLength,1
wielu,1
MyThread,2
argumencie,1
opisów,1
określającą,1
metody,27
dwa,3
sprawdzanie,1
zmiennej,2
wiele,2
stałymi,3
wodę,1
odczyt,1
pliku,4
Utwórz,7
JoinerT,1
MERCEDES,1
miała,2
poprawność,4
mają,2
stwórz,2
key,2
statyczne,1
Java,2
ostatnim,3
wypisuje,4
poinformować,1
drukować,1
że,2
OPEL,1
ta,4
te,1
okręgu,5
stan,2
Convertera,1
to,1
trudniejsze,1
jeżeli,1
Validator,2
publiczny,1
CENTIMETERSTOICHES,1
ThreadcurrentThreadgetName,2
odniesienia,1
kawy,2
powyżej,2
ich,1
Dodatkowo,2
silnika,1
konstruktorem,1
metodami,1
czujnik,4
resizeFactor,2
odrzucona,1
obiekty,1
publicznym,1
ilością,1
wartość,3
kierunku,1
imituje,1
mapy,1
środek,1
znajduje,1
thismodels,1
MyRunnable,2
kilka,2
abstrakcyjne,2
posiadać,2
Rozszerz,1
ekranów,2
Laptop,2
pulę,1
czas,3
zmieniły,1
powierzchni,1
zgodnie,1
pozostałe,2
ConversionType,1
konkretnego,1
okrąg,1
swojej,1
dane,5
standardową,2
HashSetE,1
następujące,1
znalezienia,1
producentami,1
wątek,1
posiadającą,3
Integer,2
danego,4
jeden,2
Modelów,1
zwiększa,1
nieparzystym,2
figury,2
moc,1
dodatkowo,1
isExpresstrue,1
wywołując,4
przed,2
Rectangle,1
isLoaded,1
sprawdzać,1
mapę,1
tą,2
zawsze,1
problem,1
Coding,1
poprawnie,1
Movable,1
zadany,1
przesunięcia,1
przyjmowała,1
za,6
hashcode,3
TOYOTA,1
broń,1
ze,4
ciągu,1
wyświetl,1
isExpressfalse,1
przez,5
dodatkowe,1
działanie,1
gdy,2
działania,2
sytuacji,1
realizować,1
przekazanym,1
reprezentowany,1
rozmiarów,1
stringów,2
wartością,2
nich,1
wygenerowanej,1
gatunku,4
PORSCHE,1
interfejsu,2
TreeMap,1
użytkownika,1
SEDAN,2
Thread,6
deduplikuje,1
Model,1
elementu,1
magazynka,3
typu,19
elementy,2
kolejny,1
sprawdź,1
nowego,1
pola,8
pozwala,2
posiadająca,1
otrzymywanie,1
statystyk,1
Executors,1
pole,3
float,1
conversionType,1
robienia,1
być,3
posiadający,3
dodatkową,1
zajecia,1
konkretny,1
ThreadPlaygroundRunnable,3
występującą,1
figurę,1
obwód,1
zaktualizować,1
przyjmować,2
konkretne,1
Executora,1
wcześniej,1
sobie,1
Wewnątrz,2
duplikatu,1
naboju,1
fabrykującej,1
informację,2
Car,4
kluczem,3
dodania,1
isPremium,2
Zoo,1
powtarzających,1
formacie,2
najmniej,2
magazynek,2
był,1
danym,2
public,13
każdego,4
imitującą,1
wyniki,6
błędów,1
value,3
stopni,1
Zainstancjuj,1
minimalny,1
wybierać,1
każdy,2
int,10
rozmiaru,2
boolean,5
rozmiary,1
koszyk,1
każdej,1
zawierającą,1
silnikiem,1
statyczną,2